id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Continent
0,2020,Mid-Level,Full-Time,Data Scientist,70000,EUR,79833,DE,In-Person,DE,Large,Europe
1,2020,Lower-Middle,Full-Time,Machine Learning Scientist,260000,USD,260000,JP,In-Person,JP,Small,Asia
2,2020,Lower-Middle,Full-Time,Big Data Engineer,85000,GBP,109024,GB,Hybrid,GB,Medium,Europe
3,2020,Mid-Level,Full-Time,Product Data Analyst,20000,USD,20000,HN,In-Person,HN,Small,North America
4,2020,Lower-Middle,Full-Time,Machine Learning Engineer,150000,USD,150000,US,Hybrid,US,Large,North America
5,2020,Entry-Level,Full-Time,Data Analyst,72000,USD,72000,US,Full-Remote,US,Large,North America
6,2020,Lower-Middle,Full-Time,Lead Data Scientist,190000,USD,190000,US,Full-Remote,US,Small,North America
7,2020,Mid-Level,Full-Time,Data Scientist,11000000,HUF,35735,HU,Hybrid,HU,Large,Europe
8,2020,Mid-Level,Full-Time,Business Data Analyst,135000,USD,135000,US,Full-Remote,US,Large,North America
9,2020,Lower-Middle,Full-Time,Lead Data Engineer,125000,USD,125000,NZ,Hybrid,NZ,Small,Oceania
10,2020,Entry-Level,Full-Time,Data Scientist,45000,EUR,51321,FR,In-Person,FR,Small,Europe
11,2020,Mid-Level,Full-Time,Data Scientist,3000000,INR,40481,IN,In-Person,IN,Large,Asia
12,2020,Entry-Level,Full-Time,Data Scientist,35000,EUR,39916,FR,In-Person,FR,Medium,Europe
13,2020,Mid-Level,Full-Time,Lead Data Analyst,87000,USD,87000,US,Full-Remote,US,Large,North America
14,2020,Mid-Level,Full-Time,Data Analyst,85000,USD,85000,US,Full-Remote,US,Large,North America
15,2020,Mid-Level,Full-Time,Data Analyst,8000,USD,8000,PK,Hybrid,PK,Large,Asia
16,2020,Entry-Level,Full-Time,Data Engineer,4450000,JPY,41689,JP,Full-Remote,JP,Small,Asia
17,2020,Lower-Middle,Full-Time,Big Data Engineer,100000,EUR,114047,PL,Full-Remote,GB,Small,Europe
18,2020,Entry-Level,Full-Time,Data Science Consultant,423000,INR,5707,IN,Hybrid,IN,Medium,Asia
19,2020,Mid-Level,Full-Time,Lead Data Engineer,56000,USD,56000,PT,Full-Remote,US,Medium,North America
20,2020,Mid-Level,Full-Time,Machine Learning Engineer,299000,CNY,43331,CN,In-Person,CN,Medium,Asia
21,2020,Mid-Level,Full-Time,Product Data Analyst,450000,INR,6072,IN,Full-Remote,IN,Large,Asia
22,2020,Lower-Middle,Full-Time,Data Engineer,42000,EUR,47899,GR,Hybrid,GR,Large,Europe
23,2020,Mid-Level,Full-Time,BI Data Analyst,98000,USD,98000,US,In-Person,US,Medium,North America
24,2020,Mid-Level,Full-Time,Lead Data Scientist,115000,USD,115000,AE,In-Person,AE,Large,Asia
25,2020,Executive-Level,Full-Time,Director of Data Science,325000,USD,325000,US,Full-Remote,US,Large,North America
26,2020,Entry-Level,Full-Time,Research Scientist,42000,USD,42000,NL,Hybrid,NL,Large,Europe
27,2020,Lower-Middle,Full-Time,Data Engineer,720000,MXN,33511,MX,In-Person,MX,Small,North America
28,2020,Entry-Level,Contract,Business Data Analyst,100000,USD,100000,US,Full-Remote,US,Large,North America
29,2020,Lower-Middle,Full-Time,Machine Learning Manager,157000,CAD,117104,CA,Hybrid,CA,Large,North America
30,2020,Mid-Level,Full-Time,Data Engineering Manager,51999,EUR,59303,DE,Full-Remote,DE,Small,Europe
31,2020,Entry-Level,Full-Time,Big Data Engineer,70000,USD,70000,US,Full-Remote,US,Large,North America
32,2020,Lower-Middle,Full-Time,Data Scientist,60000,EUR,68428,GR,Full-Remote,US,Large,North America
33,2020,Mid-Level,Full-Time,Research Scientist,450000,USD,450000,US,In-Person,US,Medium,North America
34,2020,Mid-Level,Full-Time,Data Analyst,41000,EUR,46759,FR,Hybrid,FR,Large,Europe
35,2020,Mid-Level,Full-Time,Data Engineer,65000,EUR,74130,AT,Hybrid,AT,Large,Europe
36,2020,Mid-Level,Full-Time,Data Science Consultant,103000,USD,103000,US,Full-Remote,US,Large,North America
37,2020,Entry-Level,Full-Time,Machine Learning Engineer,250000,USD,250000,US,Hybrid,US,Large,North America
38,2020,Entry-Level,Full-Time,Data Analyst,10000,USD,10000,NG,Full-Remote,NG,Small,Africa
39,2020,Entry-Level,Full-Time,Machine Learning Engineer,138000,USD,138000,US,Full-Remote,US,Small,North America
40,2020,Mid-Level,Full-Time,Data Scientist,45760,USD,45760,PH,Full-Remote,US,Small,North America
41,2020,Executive-Level,Full-Time,Data Engineering Manager,70000,EUR,79833,ES,Hybrid,ES,Large,Europe
42,2020,Mid-Level,Full-Time,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,In-Person,PT,Medium,Europe
43,2020,Mid-Level,Full-Time,Data Engineer,106000,USD,106000,US,Full-Remote,US,Large,North America
44,2020,Mid-Level,Full-Time,Data Engineer,88000,GBP,112872,GB,Hybrid,GB,Large,Europe
45,2020,Entry-Level,Part-Time,ML Engineer,14000,EUR,15966,DE,Full-Remote,DE,Small,Europe
46,2020,Mid-Level,Full-Time,Data Scientist,60000,GBP,76958,GB,Full-Remote,GB,Small,Europe
47,2020,Lower-Middle,Full-Time,Data Engineer,188000,USD,188000,US,Full-Remote,US,Large,North America
48,2020,Mid-Level,Full-Time,Data Scientist,105000,USD,105000,US,Full-Remote,US,Large,North America
49,2020,Mid-Level,Full-Time,Data Engineer,61500,EUR,70139,FR,Hybrid,FR,Large,Europe
50,2020,Entry-Level,Full-Time,Data Analyst,450000,INR,6072,IN,In-Person,IN,Small,Asia
51,2020,Entry-Level,Full-Time,Data Analyst,91000,USD,91000,US,Full-Remote,US,Large,North America
52,2020,Entry-Level,Full-Time,AI Scientist,300000,DKK,45896,DK,Hybrid,DK,Small,Europe
53,2020,Entry-Level,Full-Time,Data Engineer,48000,EUR,54742,PK,Full-Remote,DE,Large,Europe
54,2020,Lower-Middle,Freelance,Computer Vision Engineer,60000,USD,60000,RU,Full-Remote,US,Small,North America
55,2020,Lower-Middle,Full-Time,Principal Data Scientist,130000,EUR,148261,DE,Full-Remote,DE,Medium,Europe
56,2020,Mid-Level,Full-Time,Data Scientist,34000,EUR,38776,ES,Full-Remote,ES,Medium,Europe
57,2020,Mid-Level,Full-Time,Data Scientist,118000,USD,118000,US,Full-Remote,US,Medium,North America
58,2020,Lower-Middle,Full-Time,Data Scientist,120000,USD,120000,US,Hybrid,US,Large,North America
59,2020,Mid-Level,Full-Time,Data Scientist,138350,USD,138350,US,Full-Remote,US,Medium,North America
60,2020,Mid-Level,Full-Time,Data Engineer,110000,USD,110000,US,Full-Remote,US,Large,North America
61,2020,Mid-Level,Full-Time,Data Engineer,130800,USD,130800,ES,Full-Remote,US,Medium,North America
62,2020,Entry-Level,Part-Time,Data Scientist,19000,EUR,21669,IT,Hybrid,IT,Small,Europe
63,2020,Lower-Middle,Full-Time,Data Scientist,412000,USD,412000,US,Full-Remote,US,Large,North America
64,2020,Lower-Middle,Full-Time,Machine Learning Engineer,40000,EUR,45618,HR,Full-Remote,HR,Small,Europe
65,2020,Entry-Level,Full-Time,Data Scientist,55000,EUR,62726,DE,Hybrid,DE,Small,Europe
66,2020,Entry-Level,Full-Time,Data Scientist,43200,EUR,49268,DE,In-Person,DE,Small,Europe
67,2020,Lower-Middle,Full-Time,Data Science Manager,190200,USD,190200,US,Full-Remote,US,Medium,North America
68,2020,Entry-Level,Full-Time,Data Scientist,105000,USD,105000,US,Full-Remote,US,Small,North America
69,2020,Lower-Middle,Full-Time,Data Scientist,80000,EUR,91237,AT,In-Person,AT,Small,Europe
70,2020,Mid-Level,Full-Time,Data Scientist,55000,EUR,62726,FR,Hybrid,LU,Small,Europe
71,2020,Mid-Level,Full-Time,Data Scientist,37000,EUR,42197,FR,Hybrid,FR,Small,Europe
72,2021,Entry-Level,Full-Time,Research Scientist,60000,GBP,82528,GB,Hybrid,GB,Large,Europe
73,2021,Executive-Level,Full-Time,BI Data Analyst,150000,USD,150000,IN,Full-Remote,US,Large,North America
74,2021,Executive-Level,Full-Time,Head of Data,235000,USD,235000,US,Full-Remote,US,Large,North America
75,2021,Lower-Middle,Full-Time,Data Scientist,45000,EUR,53192,FR,Hybrid,FR,Large,Europe
76,2021,Mid-Level,Full-Time,BI Data Analyst,100000,USD,100000,US,Full-Remote,US,Medium,North America
77,2021,Mid-Level,Part-Time,3D Computer Vision Researcher,400000,INR,5409,IN,Hybrid,IN,Medium,Asia
78,2021,Mid-Level,Contract,ML Engineer,270000,USD,270000,US,Full-Remote,US,Large,North America
79,2021,Entry-Level,Full-Time,Data Analyst,80000,USD,80000,US,Full-Remote,US,Medium,North America
80,2021,Lower-Middle,Full-Time,Data Analytics Engineer,67000,EUR,79197,DE,Full-Remote,DE,Large,Europe
81,2021,Mid-Level,Full-Time,Data Engineer,140000,USD,140000,US,Full-Remote,US,Large,North America
82,2021,Mid-Level,Full-Time,Applied Data Scientist,68000,CAD,54238,GB,Hybrid,CA,Large,North America
83,2021,Mid-Level,Full-Time,Machine Learning Engineer,40000,EUR,47282,ES,Full-Remote,ES,Small,Europe
84,2021,Executive-Level,Full-Time,Director of Data Science,130000,EUR,153667,IT,Full-Remote,PL,Large,Europe
85,2021,Mid-Level,Full-Time,Data Engineer,110000,PLN,28476,PL,Full-Remote,PL,Large,Europe
86,2021,Entry-Level,Full-Time,Data Analyst,50000,EUR,59102,FR,Hybrid,FR,Medium,Europe
87,2021,Mid-Level,Full-Time,Data Analytics Engineer,110000,USD,110000,US,Full-Remote,US,Large,North America
88,2021,Lower-Middle,Full-Time,Lead Data Analyst,170000,USD,170000,US,Full-Remote,US,Large,North America
89,2021,Lower-Middle,Full-Time,Data Analyst,80000,USD,80000,BG,Full-Remote,US,Small,North America
90,2021,Lower-Middle,Full-Time,Marketing Data Analyst,75000,EUR,88654,GR,Full-Remote,DK,Large,Europe
91,2021,Entry-Level,Full-Time,Data Science Consultant,65000,EUR,76833,DE,Full-Remote,DE,Small,Europe
92,2021,Mid-Level,Full-Time,Lead Data Analyst,1450000,INR,19609,IN,Full-Remote,IN,Large,Asia
93,2021,Lower-Middle,Full-Time,Lead Data Engineer,276000,USD,276000,US,In-Person,US,Large,North America
94,2021,Entry-Level,Full-Time,Data Scientist,2200000,INR,29751,IN,Hybrid,IN,Large,Asia
95,2021,Mid-Level,Full-Time,Cloud Data Engineer,120000,SGD,89294,SG,Hybrid,SG,Large,Asia
96,2021,Entry-Level,Part-Time,AI Scientist,12000,USD,12000,BR,Full-Remote,US,Small,North America
97,2021,Mid-Level,Full-Time,Financial Data Analyst,450000,USD,450000,US,Full-Remote,US,Large,North America
98,2021,Entry-Level,Full-Time,Computer Vision Software Engineer,70000,USD,70000,US,Full-Remote,US,Medium,North America
99,2021,Mid-Level,Full-Time,Computer Vision Software Engineer,81000,EUR,95746,DE,Full-Remote,US,Small,North America
100,2021,Mid-Level,Full-Time,Data Analyst,75000,USD,75000,US,In-Person,US,Large,North America
101,2021,Lower-Middle,Full-Time,Data Engineer,150000,USD,150000,US,Full-Remote,US,Large,North America
102,2021,Mid-Level,Full-Time,BI Data Analyst,11000000,HUF,36259,HU,Hybrid,US,Large,North America
103,2021,Mid-Level,Full-Time,Data Analyst,62000,USD,62000,US,In-Person,US,Large,North America
104,2021,Mid-Level,Full-Time,Data Scientist,73000,USD,73000,US,In-Person,US,Large,North America
105,2021,Mid-Level,Full-Time,Data Analyst,37456,GBP,51519,GB,Hybrid,GB,Large,Europe
106,2021,Mid-Level,Full-Time,Research Scientist,235000,CAD,187442,CA,Full-Remote,CA,Large,North America
107,2021,Lower-Middle,Full-Time,Data Engineer,115000,USD,115000,US,Full-Remote,US,Small,North America
108,2021,Lower-Middle,Full-Time,Data Engineer,150000,USD,150000,US,Full-Remote,US,Medium,North America
109,2021,Entry-Level,Full-Time,Data Engineer,2250000,INR,30428,IN,Full-Remote,IN,Large,Asia
110,2021,Lower-Middle,Full-Time,Machine Learning Engineer,80000,EUR,94564,DE,Hybrid,DE,Large,Europe
111,2021,Lower-Middle,Full-Time,Director of Data Engineering,82500,GBP,113476,GB,Full-Remote,GB,Medium,Europe
112,2021,Lower-Middle,Full-Time,Lead Data Engineer,75000,GBP,103160,GB,Full-Remote,GB,Small,Europe
113,2021,Entry-Level,Part-Time,AI Scientist,12000,USD,12000,PK,Full-Remote,US,Medium,North America
114,2021,Mid-Level,Full-Time,Data Engineer,38400,EUR,45391,NL,Full-Remote,NL,Large,Europe
115,2021,Entry-Level,Full-Time,Machine Learning Scientist,225000,USD,225000,US,Full-Remote,US,Large,North America
116,2021,Mid-Level,Full-Time,Data Scientist,50000,USD,50000,NG,Full-Remote,NG,Large,Africa
117,2021,Mid-Level,Full-Time,Data Science Engineer,34000,EUR,40189,GR,Full-Remote,GR,Medium,Europe
118,2021,Entry-Level,Full-Time,Data Analyst,90000,USD,90000,US,Full-Remote,US,Small,North America
119,2021,Mid-Level,Full-Time,Data Engineer,200000,USD,200000,US,Full-Remote,US,Large,North America
120,2021,Mid-Level,Full-Time,Big Data Engineer,60000,USD,60000,ES,Hybrid,RO,Medium,Europe
121,2021,Lower-Middle,Full-Time,Principal Data Engineer,200000,USD,200000,US,Full-Remote,US,Medium,North America
122,2021,Entry-Level,Full-Time,Data Analyst,50000,USD,50000,US,Full-Remote,US,Medium,North America
123,2021,Entry-Level,Full-Time,Applied Data Scientist,80000,GBP,110037,GB,In-Person,GB,Large,Europe
124,2021,Entry-Level,Part-Time,Data Analyst,8760,EUR,10354,ES,Hybrid,ES,Medium,Europe
125,2021,Mid-Level,Full-Time,Principal Data Scientist,151000,USD,151000,US,Full-Remote,US,Large,North America
126,2021,Lower-Middle,Full-Time,Machine Learning Scientist,120000,USD,120000,US,Hybrid,US,Small,North America
127,2021,Mid-Level,Full-Time,Data Scientist,700000,INR,9466,IN,In-Person,IN,Small,Asia
128,2021,Entry-Level,Full-Time,Machine Learning Engineer,20000,USD,20000,IN,Full-Remote,IN,Small,Asia
129,2021,Lower-Middle,Full-Time,Lead Data Scientist,3000000,INR,40570,IN,Hybrid,IN,Large,Asia
130,2021,Entry-Level,Full-Time,Machine Learning Developer,100000,USD,100000,IQ,Hybrid,IQ,Small,Asia
131,2021,Entry-Level,Full-Time,Data Scientist,42000,EUR,49646,FR,Hybrid,FR,Medium,Europe
132,2021,Mid-Level,Full-Time,Applied Machine Learning Scientist,38400,USD,38400,VN,Full-Remote,US,Medium,North America
133,2021,Lower-Middle,Full-Time,Computer Vision Engineer,24000,USD,24000,BR,Full-Remote,BR,Medium,South America
134,2021,Entry-Level,Full-Time,Data Scientist,100000,USD,100000,US,In-Person,US,Small,North America
135,2021,Mid-Level,Full-Time,Data Analyst,90000,USD,90000,US,Full-Remote,US,Medium,North America
136,2021,Mid-Level,Full-Time,ML Engineer,7000000,JPY,63711,JP,Hybrid,JP,Small,Asia
137,2021,Mid-Level,Full-Time,ML Engineer,8500000,JPY,77364,JP,Hybrid,JP,Small,Asia
138,2021,Lower-Middle,Full-Time,Principal Data Scientist,220000,USD,220000,US,In-Person,US,Large,North America
139,2021,Entry-Level,Full-Time,Data Scientist,80000,USD,80000,US,Full-Remote,US,Medium,North America
140,2021,Mid-Level,Full-Time,Data Analyst,135000,USD,135000,US,Full-Remote,US,Large,North America
141,2021,Lower-Middle,Full-Time,Data Science Manager,240000,USD,240000,US,In-Person,US,Large,North America
142,2021,Lower-Middle,Full-Time,Data Engineering Manager,150000,USD,150000,US,In-Person,US,Large,North America
143,2021,Mid-Level,Full-Time,Data Scientist,82500,USD,82500,US,Full-Remote,US,Small,North America
144,2021,Mid-Level,Full-Time,Data Engineer,100000,USD,100000,US,Full-Remote,US,Large,North America
145,2021,Lower-Middle,Full-Time,Machine Learning Engineer,70000,EUR,82744,BE,Hybrid,BE,Medium,Europe
146,2021,Mid-Level,Full-Time,Research Scientist,53000,EUR,62649,FR,Hybrid,FR,Medium,Europe
147,2021,Mid-Level,Full-Time,Data Engineer,90000,USD,90000,US,Full-Remote,US,Large,North America
148,2021,Lower-Middle,Full-Time,Data Engineering Manager,153000,USD,153000,US,Full-Remote,US,Large,North America
149,2021,Lower-Middle,Full-Time,Cloud Data Engineer,160000,USD,160000,BR,Full-Remote,US,Small,North America
150,2021,Lower-Middle,Full-Time,Director of Data Science,168000,USD,168000,JP,In-Person,JP,Small,Asia
151,2021,Mid-Level,Full-Time,Data Scientist,150000,USD,150000,US,Full-Remote,US,Medium,North America
152,2021,Mid-Level,Full-Time,Data Scientist,95000,CAD,75774,CA,Full-Remote,CA,Large,North America
153,2021,Entry-Level,Full-Time,Data Scientist,13400,USD,13400,UA,Full-Remote,UA,Large,Europe
154,2021,Lower-Middle,Full-Time,Data Science Manager,144000,USD,144000,US,Full-Remote,US,Large,North America
155,2021,Lower-Middle,Full-Time,Data Science Engineer,159500,CAD,127221,CA,Hybrid,CA,Large,North America
156,2021,Mid-Level,Full-Time,Data Scientist,160000,SGD,119059,SG,Full-Remote,IL,Medium,Asia
157,2021,Mid-Level,Full-Time,Applied Machine Learning Scientist,423000,USD,423000,US,Hybrid,US,Large,North America
158,2021,Lower-Middle,Full-Time,Data Analytics Manager,120000,USD,120000,US,Full-Remote,US,Medium,North America
159,2021,Entry-Level,Full-Time,Machine Learning Engineer,125000,USD,125000,US,Full-Remote,US,Small,North America
160,2021,Executive-Level,Full-Time,Head of Data,230000,USD,230000,RU,Hybrid,RU,Large,Europe
161,2021,Executive-Level,Full-Time,Head of Data Science,85000,USD,85000,RU,In-Person,RU,Medium,Europe
162,2021,Mid-Level,Full-Time,Data Engineer,24000,EUR,28369,MT,Hybrid,MT,Large,Europe
163,2021,Entry-Level,Full-Time,Data Science Consultant,54000,EUR,63831,DE,Hybrid,DE,Large,Europe
164,2021,Executive-Level,Full-Time,Director of Data Science,110000,EUR,130026,DE,Hybrid,DE,Medium,Europe
165,2021,Lower-Middle,Full-Time,Data Specialist,165000,USD,165000,US,Full-Remote,US,Large,North America
166,2021,Entry-Level,Full-Time,Data Engineer,80000,USD,80000,US,Full-Remote,US,Large,North America
167,2021,Executive-Level,Full-Time,Director of Data Science,250000,USD,250000,US,In-Person,US,Large,North America
168,2021,Entry-Level,Full-Time,BI Data Analyst,55000,USD,55000,US,Hybrid,US,Small,North America
169,2021,Mid-Level,Full-Time,Data Architect,150000,USD,150000,US,Full-Remote,US,Large,North America
170,2021,Mid-Level,Full-Time,Data Architect,170000,USD,170000,US,Full-Remote,US,Large,North America
171,2021,Mid-Level,Full-Time,Data Engineer,60000,GBP,82528,GB,Full-Remote,GB,Large,Europe
172,2021,Entry-Level,Full-Time,Data Analyst,60000,USD,60000,US,Full-Remote,US,Small,North America
173,2021,Lower-Middle,Full-Time,Principal Data Scientist,235000,USD,235000,US,Full-Remote,US,Large,North America
174,2021,Lower-Middle,Full-Time,Research Scientist,51400,EUR,60757,PT,Hybrid,PT,Large,Europe
175,2021,Lower-Middle,Full-Time,Data Engineering Manager,174000,USD,174000,US,Full-Remote,US,Large,North America
176,2021,Mid-Level,Full-Time,Data Scientist,58000,MXN,2859,MX,In-Person,MX,Small,North America
177,2021,Mid-Level,Full-Time,Data Scientist,30400000,CLP,40038,CL,Full-Remote,CL,Large,South America
178,2021,Entry-Level,Full-Time,Machine Learning Engineer,81000,USD,81000,US,Hybrid,US,Small,North America
179,2021,Mid-Level,Full-Time,Data Scientist,420000,INR,5679,IN,Full-Remote,US,Small,North America
180,2021,Mid-Level,Full-Time,Big Data Engineer,1672000,INR,22611,IN,In-Person,IN,Large,Asia
181,2021,Mid-Level,Full-Time,Data Scientist,76760,EUR,90734,DE,Hybrid,DE,Large,Europe
182,2021,Mid-Level,Full-Time,Data Engineer,22000,EUR,26005,RO,In-Person,US,Large,North America
183,2021,Lower-Middle,Full-Time,Finance Data Analyst,45000,GBP,61896,GB,Hybrid,GB,Large,Europe
184,2021,Mid-Level,Freelance,Machine Learning Scientist,12000,USD,12000,PK,Hybrid,PK,Medium,Asia
185,2021,Mid-Level,Full-Time,Data Engineer,4000,USD,4000,IR,Full-Remote,IR,Medium,Asia
186,2021,Lower-Middle,Full-Time,Data Analytics Engineer,50000,USD,50000,VN,Full-Remote,GB,Medium,Europe
187,2021,Executive-Level,Full-Time,Data Science Consultant,59000,EUR,69741,FR,Full-Remote,ES,Small,Europe
188,2021,Lower-Middle,Full-Time,Data Engineer,65000,EUR,76833,RO,Hybrid,GB,Small,Europe
189,2021,Mid-Level,Full-Time,Machine Learning Engineer,74000,USD,74000,JP,Hybrid,JP,Small,Asia
190,2021,Lower-Middle,Full-Time,Data Science Manager,152000,USD,152000,US,Full-Remote,FR,Large,Europe
191,2021,Entry-Level,Full-Time,Machine Learning Engineer,21844,USD,21844,CO,Hybrid,CO,Medium,South America
192,2021,Mid-Level,Full-Time,Big Data Engineer,18000,USD,18000,MD,In-Person,MD,Small,Europe
193,2021,Lower-Middle,Full-Time,Data Science Manager,174000,USD,174000,US,Full-Remote,US,Large,North America
194,2021,Lower-Middle,Full-Time,Research Scientist,120500,CAD,96113,CA,Hybrid,CA,Large,North America
195,2021,Mid-Level,Full-Time,Data Scientist,147000,USD,147000,US,Hybrid,US,Large,North America
196,2021,Entry-Level,Full-Time,BI Data Analyst,9272,USD,9272,KE,Full-Remote,KE,Small,Africa
197,2021,Lower-Middle,Full-Time,Machine Learning Engineer,1799997,INR,24342,IN,Full-Remote,IN,Large,Asia
198,2021,Lower-Middle,Full-Time,Data Science Manager,4000000,INR,54094,IN,Hybrid,US,Large,North America
199,2021,Entry-Level,Full-Time,Data Science Consultant,90000,USD,90000,US,Full-Remote,US,Small,North America
200,2021,Mid-Level,Full-Time,Data Scientist,52000,EUR,61467,DE,Hybrid,AT,Medium,Europe
201,2021,Lower-Middle,Full-Time,Machine Learning Infrastructure Engineer,195000,USD,195000,US,Full-Remote,US,Medium,North America
202,2021,Mid-Level,Full-Time,Data Scientist,32000,EUR,37825,ES,Full-Remote,ES,Large,Europe
203,2021,Lower-Middle,Full-Time,Research Scientist,50000,USD,50000,FR,Full-Remote,US,Small,North America
204,2021,Mid-Level,Full-Time,Data Scientist,160000,USD,160000,US,Full-Remote,US,Large,North America
205,2021,Mid-Level,Full-Time,Data Scientist,69600,BRL,12901,BR,In-Person,BR,Small,South America
206,2021,Lower-Middle,Full-Time,Machine Learning Engineer,200000,USD,200000,US,Full-Remote,US,Large,North America
207,2021,Lower-Middle,Full-Time,Data Engineer,165000,USD,165000,US,In-Person,US,Medium,North America
208,2021,Mid-Level,Freelance,Data Engineer,20000,USD,20000,IT,In-Person,US,Large,North America
209,2021,Lower-Middle,Full-Time,Data Analytics Manager,120000,USD,120000,US,In-Person,US,Large,North America
210,2021,Mid-Level,Full-Time,Machine Learning Engineer,21000,EUR,24823,SI,Hybrid,SI,Large,Europe
211,2021,Mid-Level,Full-Time,Research Scientist,48000,EUR,56738,FR,Hybrid,FR,Small,Europe
212,2021,Mid-Level,Full-Time,Data Engineer,48000,GBP,66022,HK,Hybrid,GB,Small,Europe
213,2021,Entry-Level,Full-Time,Big Data Engineer,435000,INR,5882,IN,In-Person,CH,Large,Europe
214,2021,Entry-Level,Full-Time,Machine Learning Engineer,21000,EUR,24823,DE,Hybrid,DE,Medium,Europe
215,2021,Lower-Middle,Full-Time,Principal Data Engineer,185000,USD,185000,US,Full-Remote,US,Large,North America
216,2021,Entry-Level,Part-Time,Computer Vision Engineer,180000,DKK,28609,DK,Hybrid,DK,Small,Europe
217,2021,Mid-Level,Full-Time,Data Scientist,76760,EUR,90734,DE,Hybrid,DE,Large,Europe
218,2021,Mid-Level,Full-Time,Machine Learning Engineer,75000,EUR,88654,BE,Full-Remote,BE,Medium,Europe
219,2021,Lower-Middle,Full-Time,Data Analytics Manager,140000,USD,140000,US,Full-Remote,US,Large,North America
220,2021,Mid-Level,Full-Time,Machine Learning Engineer,180000,PLN,46597,PL,Full-Remote,PL,Large,Europe
