id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Continent
221,2021,Mid-Level,Full-Time,Data Scientist,85000,GBP,116914,GB,Hybrid,GB,Large,Europe
222,2021,Mid-Level,Full-Time,Data Scientist,2500000,INR,33808,IN,In-Person,IN,Medium,Asia
223,2021,Mid-Level,Full-Time,Data Scientist,40900,GBP,56256,GB,Hybrid,GB,Large,Europe
224,2021,Lower-Middle,Full-Time,Machine Learning Scientist,225000,USD,225000,US,Full-Remote,CA,Large,North America
225,2021,Executive-Level,Contract,Principal Data Scientist,416000,USD,416000,US,Full-Remote,US,Small,North America
226,2021,Lower-Middle,Full-Time,Data Scientist,110000,CAD,87738,CA,Full-Remote,CA,Small,North America
227,2021,Mid-Level,Full-Time,Data Scientist,75000,EUR,88654,DE,Hybrid,DE,Large,Europe
228,2021,Lower-Middle,Full-Time,Data Scientist,135000,USD,135000,US,In-Person,US,Large,North America
229,2021,Lower-Middle,Full-Time,Data Analyst,90000,CAD,71786,CA,Full-Remote,CA,Medium,North America
230,2021,Entry-Level,Full-Time,Big Data Engineer,1200000,INR,16228,IN,Full-Remote,IN,Large,Asia
231,2021,Lower-Middle,Full-Time,ML Engineer,256000,USD,256000,US,Full-Remote,US,Small,North America
232,2021,Lower-Middle,Full-Time,Director of Data Engineering,200000,USD,200000,US,Full-Remote,US,Large,North America
233,2021,Lower-Middle,Full-Time,Data Analyst,200000,USD,200000,US,Full-Remote,US,Large,North America
234,2021,Mid-Level,Full-Time,Data Architect,180000,USD,180000,US,Full-Remote,US,Large,North America
235,2021,Mid-Level,Full-Time,Head of Data Science,110000,USD,110000,US,In-Person,US,Small,North America
236,2021,Mid-Level,Full-Time,Research Scientist,80000,CAD,63810,CA,Full-Remote,CA,Medium,North America
237,2021,Mid-Level,Full-Time,Data Scientist,39600,EUR,46809,ES,Full-Remote,ES,Medium,Europe
238,2021,Entry-Level,Full-Time,Data Scientist,4000,USD,4000,VN,In-Person,VN,Medium,Asia
239,2021,Entry-Level,Full-Time,Data Engineer,1600000,INR,21637,IN,Hybrid,IN,Medium,Asia
240,2021,Lower-Middle,Full-Time,Data Scientist,130000,CAD,103691,CA,Full-Remote,CA,Large,North America
241,2021,Mid-Level,Full-Time,Data Analyst,80000,USD,80000,US,Full-Remote,US,Large,North America
242,2021,Mid-Level,Full-Time,Data Engineer,110000,USD,110000,US,Full-Remote,US,Large,North America
243,2021,Lower-Middle,Full-Time,Data Scientist,165000,USD,165000,US,Full-Remote,US,Large,North America
244,2021,Entry-Level,Full-Time,AI Scientist,1335000,INR,18053,IN,Full-Remote,AS,Small,Oceania
245,2021,Mid-Level,Full-Time,Data Engineer,52500,GBP,72212,GB,Hybrid,GB,Large,Europe
246,2021,Entry-Level,Full-Time,Data Scientist,31000,EUR,36643,FR,Hybrid,FR,Large,Europe
247,2021,Mid-Level,Full-Time,Data Engineer,108000,TRY,12103,TR,In-Person,TR,Medium,Asia
248,2021,Lower-Middle,Full-Time,Data Engineer,70000,GBP,96282,GB,Hybrid,GB,Large,Europe
249,2021,Lower-Middle,Full-Time,Principal Data Analyst,170000,USD,170000,US,Full-Remote,US,Medium,North America
250,2021,Mid-Level,Full-Time,Data Scientist,115000,USD,115000,US,Hybrid,US,Large,North America
251,2021,Entry-Level,Full-Time,Data Scientist,90000,USD,90000,US,Full-Remote,US,Small,North America
252,2021,Executive-Level,Full-Time,Principal Data Engineer,600000,USD,600000,US,Full-Remote,US,Large,North America
253,2021,Entry-Level,Full-Time,Data Scientist,2100000,INR,28399,IN,Full-Remote,IN,Medium,Asia
254,2021,Mid-Level,Full-Time,Data Analyst,93000,USD,93000,US,Full-Remote,US,Large,North America
